Matrix order, Jacobi Sequential, Jacobi Paralell, Seidel Sequential, Seidel Parallel, Seidel Unstable
3693, 599.628200, 314.098400, 601.337300, 323.025200, 300.690850
3694, 602.884600, 309.658250, 505.859000, 324.846350, 260.215150
3695, 602.491250, 313.596850, 504.156050, 326.435950, 260.707150
3696, 597.471050, 312.754100, 500.302150, 325.303050, 305.407650
3697, 603.325900, 312.208900, 504.961700, 326.770150, 259.967900
3698, 598.370050, 315.476350, 500.477200, 324.633300, 272.707850
3699, 499.862900, 264.460850, 500.748050, 327.764850, 259.919350
3700, 598.990400, 315.135150, 599.560350, 327.718850, 305.185350
3701, 601.718650, 313.871950, 503.732750, 327.977350, 258.923250
3702, 503.519950, 261.450450, 505.901400, 326.071000, 259.691650
3703, 599.551350, 316.880050, 600.680800, 327.607900, 261.883400
3704, 600.000650, 318.819550, 502.264300, 325.187000, 305.929850
3705, 601.101100, 314.758650, 502.913050, 327.491450, 259.462100
3706, 607.127400, 313.625050, 508.483750, 327.056150, 309.862750
3707, 608.206400, 312.916100, 510.753000, 325.887350, 301.966350
3708, 703.287800, 368.151400, 605.576900, 395.276900, 313.577950
3709, 603.981800, 317.154850, 504.963250, 326.567400, 266.448900
3710, 610.423250, 321.640300, 512.264100, 332.071700, 268.338400
3711, 613.214500, 320.788500, 514.828900, 396.519600, 268.711850
3712, 607.982250, 316.302850, 509.454700, 327.522100, 261.551050
3713, 603.216450, 316.351750, 505.763700, 327.828300, 299.751750
3714, 604.307750, 319.165250, 503.790350, 331.064300, 263.142200
3715, 605.509450, 315.891850, 505.965150, 328.529950, 260.681100
3716, 605.914250, 317.546750, 507.913250, 328.518050, 261.259250
3717, 607.006800, 312.969750, 508.369150, 331.939300, 257.881600
3718, 604.926850, 316.668350, 506.825300, 328.013700, 268.648150
3719, 607.514400, 319.537500, 609.353800, 333.468700, 265.656550
3720, 610.332150, 315.154400, 510.507450, 327.650450, 312.536400
3721, 608.712600, 315.706250, 610.159400, 331.079800, 294.924450
3722, 605.352150, 317.704100, 607.996650, 334.004550, 277.724000
3723, 607.474550, 315.369350, 506.957100, 331.663900, 277.520150
3724, 606.303350, 320.812700, 506.471650, 395.590450, 263.117000
3725, 608.419000, 320.961000, 509.558850, 329.309450, 275.066800
3726, 613.050700, 315.198850, 512.567850, 330.303600, 259.517550
3727, 609.438300, 318.597050, 509.520350, 330.094300, 263.261750
3728, 608.612600, 319.149500, 509.564900, 331.530250, 262.509550
3729, 509.545000, 264.825950, 507.448000, 330.956850, 264.491150
3730, 508.229950, 268.367700, 507.014650, 395.552650, 264.330150
3731, 510.011200, 263.829350, 511.543700, 333.237800, 263.285250
3732, 613.514600, 317.455100, 513.578700, 331.072350, 261.667750
3733, 608.838350, 321.255950, 510.915050, 400.628100, 265.465000
3734, 616.843550, 316.476350, 515.974500, 331.528250, 261.615150
3735, 611.503300, 316.907700, 510.711550, 331.557800, 262.547900
3736, 611.785800, 320.785350, 510.361050, 336.391650, 263.887300
3737, 614.827300, 318.550350, 513.505850, 333.647450, 263.234000
3738, 618.117900, 315.024400, 516.707300, 331.595900, 302.642800
3739, 613.570800, 319.213950, 512.551050, 400.478800, 263.626700
3740, 612.389550, 324.312350, 612.604900, 402.732750, 267.347450
3741, 616.068300, 321.406300, 516.113600, 332.423350, 300.816100
3742, 514.948750, 265.809300, 517.348950, 335.552900, 265.226450
3743, 515.295700, 270.054650, 515.160600, 335.325950, 266.660550
